Date: 2021-03-21 10:58:24s, Time_Cost: 537s, Epoch: [1/2000], Train_PSNR: 19.13, Train_SSIM:0.7830, Val_PSNR: 20.57, Val_SSIM: 0.8729
Date: 2021-03-21 11:38:54s, Time_Cost: 523s, Epoch: [1/2000], Train_PSNR: 20.72, Train_SSIM:0.8142, Val_PSNR: 21.89, Val_SSIM: 0.8790
Date: 2021-03-21 11:47:13s, Time_Cost: 499s, Epoch: [2/2000], Train_PSNR: 21.40, Train_SSIM:0.8237, Val_PSNR: 22.20, Val_SSIM: 0.8839
Date: 2021-03-21 12:50:13s, Time_Cost: 520s, Epoch: [1/2000], Train_PSNR: 21.89, Train_SSIM:0.8304, Val_PSNR: 22.15, Val_SSIM: 0.8978
Date: 2021-03-21 12:59:07s, Time_Cost: 534s, Epoch: [2/2000], Train_PSNR: 22.31, Train_SSIM:0.8370, Val_PSNR: 23.22, Val_SSIM: 0.9070
Date: 2021-03-21 13:07:27s, Time_Cost: 500s, Epoch: [3/2000], Train_PSNR: 22.75, Train_SSIM:0.8423, Val_PSNR: 22.03, Val_SSIM: 0.8838
Date: 2021-03-21 13:15:42s, Time_Cost: 495s, Epoch: [4/2000], Train_PSNR: 23.04, Train_SSIM:0.8466, Val_PSNR: 23.83, Val_SSIM: 0.9165
Date: 2021-03-21 13:24:12s, Time_Cost: 510s, Epoch: [5/2000], Train_PSNR: 23.29, Train_SSIM:0.8512, Val_PSNR: 23.99, Val_SSIM: 0.9133
Date: 2021-03-21 13:32:35s, Time_Cost: 503s, Epoch: [6/2000], Train_PSNR: 23.54, Train_SSIM:0.8551, Val_PSNR: 23.02, Val_SSIM: 0.9171
Date: 2021-03-21 13:40:53s, Time_Cost: 498s, Epoch: [7/2000], Train_PSNR: 23.65, Train_SSIM:0.8565, Val_PSNR: 23.27, Val_SSIM: 0.9043
Date: 2021-03-21 13:49:14s, Time_Cost: 501s, Epoch: [8/2000], Train_PSNR: 24.00, Train_SSIM:0.8612, Val_PSNR: 24.39, Val_SSIM: 0.9208
Date: 2021-03-21 13:57:29s, Time_Cost: 495s, Epoch: [9/2000], Train_PSNR: 24.15, Train_SSIM:0.8654, Val_PSNR: 24.68, Val_SSIM: 0.9246
Date: 2021-03-21 14:05:45s, Time_Cost: 496s, Epoch: [10/2000], Train_PSNR: 24.14, Train_SSIM:0.8647, Val_PSNR: 23.49, Val_SSIM: 0.9084
Date: 2021-03-21 14:14:06s, Time_Cost: 501s, Epoch: [11/2000], Train_PSNR: 24.34, Train_SSIM:0.8675, Val_PSNR: 25.13, Val_SSIM: 0.9227
Date: 2021-03-21 14:22:26s, Time_Cost: 500s, Epoch: [12/2000], Train_PSNR: 24.41, Train_SSIM:0.8680, Val_PSNR: 25.11, Val_SSIM: 0.9279
Date: 2021-03-21 14:30:44s, Time_Cost: 498s, Epoch: [13/2000], Train_PSNR: 24.62, Train_SSIM:0.8706, Val_PSNR: 25.40, Val_SSIM: 0.9265
Date: 2021-03-21 14:39:04s, Time_Cost: 501s, Epoch: [14/2000], Train_PSNR: 24.66, Train_SSIM:0.8727, Val_PSNR: 22.00, Val_SSIM: 0.8911
Date: 2021-03-21 14:47:26s, Time_Cost: 502s, Epoch: [15/2000], Train_PSNR: 24.69, Train_SSIM:0.8723, Val_PSNR: 24.65, Val_SSIM: 0.9230
Date: 2021-03-21 14:55:45s, Time_Cost: 498s, Epoch: [16/2000], Train_PSNR: 24.68, Train_SSIM:0.8730, Val_PSNR: 24.74, Val_SSIM: 0.9279
Date: 2021-03-21 15:04:10s, Time_Cost: 505s, Epoch: [17/2000], Train_PSNR: 24.94, Train_SSIM:0.8762, Val_PSNR: 24.91, Val_SSIM: 0.9204
Date: 2021-03-21 15:12:36s, Time_Cost: 506s, Epoch: [18/2000], Train_PSNR: 24.83, Train_SSIM:0.8744, Val_PSNR: 25.21, Val_SSIM: 0.9278
Date: 2021-03-21 15:21:09s, Time_Cost: 513s, Epoch: [19/2000], Train_PSNR: 25.01, Train_SSIM:0.8770, Val_PSNR: 24.50, Val_SSIM: 0.9287
Date: 2021-03-21 15:29:45s, Time_Cost: 516s, Epoch: [20/2000], Train_PSNR: 25.16, Train_SSIM:0.8784, Val_PSNR: 25.01, Val_SSIM: 0.9303
Date: 2021-03-21 15:38:15s, Time_Cost: 510s, Epoch: [21/2000], Train_PSNR: 25.77, Train_SSIM:0.8859, Val_PSNR: 25.99, Val_SSIM: 0.9394
Date: 2021-03-21 15:46:45s, Time_Cost: 509s, Epoch: [22/2000], Train_PSNR: 25.84, Train_SSIM:0.8868, Val_PSNR: 25.73, Val_SSIM: 0.9356
Date: 2021-03-21 15:55:20s, Time_Cost: 515s, Epoch: [23/2000], Train_PSNR: 25.86, Train_SSIM:0.8866, Val_PSNR: 25.91, Val_SSIM: 0.9331
Date: 2021-03-21 16:03:50s, Time_Cost: 511s, Epoch: [24/2000], Train_PSNR: 25.88, Train_SSIM:0.8864, Val_PSNR: 25.79, Val_SSIM: 0.9322
Date: 2021-03-21 16:12:28s, Time_Cost: 518s, Epoch: [25/2000], Train_PSNR: 25.99, Train_SSIM:0.8883, Val_PSNR: 25.81, Val_SSIM: 0.9331
Date: 2021-03-21 16:21:07s, Time_Cost: 519s, Epoch: [26/2000], Train_PSNR: 26.00, Train_SSIM:0.8885, Val_PSNR: 25.91, Val_SSIM: 0.9373
Date: 2021-03-21 16:29:56s, Time_Cost: 529s, Epoch: [27/2000], Train_PSNR: 26.13, Train_SSIM:0.8893, Val_PSNR: 25.91, Val_SSIM: 0.9376
Date: 2021-03-21 16:38:41s, Time_Cost: 525s, Epoch: [28/2000], Train_PSNR: 26.10, Train_SSIM:0.8894, Val_PSNR: 25.93, Val_SSIM: 0.9381
Date: 2021-03-21 16:47:29s, Time_Cost: 528s, Epoch: [29/2000], Train_PSNR: 26.16, Train_SSIM:0.8897, Val_PSNR: 25.89, Val_SSIM: 0.9354
Date: 2021-03-21 16:56:02s, Time_Cost: 513s, Epoch: [30/2000], Train_PSNR: 26.19, Train_SSIM:0.8907, Val_PSNR: 26.04, Val_SSIM: 0.9383
Date: 2021-03-21 17:04:40s, Time_Cost: 518s, Epoch: [31/2000], Train_PSNR: 26.31, Train_SSIM:0.8921, Val_PSNR: 25.96, Val_SSIM: 0.9354
Date: 2021-03-21 17:13:20s, Time_Cost: 520s, Epoch: [32/2000], Train_PSNR: 26.20, Train_SSIM:0.8904, Val_PSNR: 26.35, Val_SSIM: 0.9417
Date: 2021-03-21 17:21:56s, Time_Cost: 516s, Epoch: [33/2000], Train_PSNR: 26.18, Train_SSIM:0.8901, Val_PSNR: 26.14, Val_SSIM: 0.9354
Date: 2021-03-21 17:30:37s, Time_Cost: 521s, Epoch: [34/2000], Train_PSNR: 26.25, Train_SSIM:0.8913, Val_PSNR: 26.32, Val_SSIM: 0.9385
Date: 2021-03-21 17:39:11s, Time_Cost: 514s, Epoch: [35/2000], Train_PSNR: 26.25, Train_SSIM:0.8906, Val_PSNR: 26.25, Val_SSIM: 0.9432
